;0
712;Peggy Lee
780;Penny Tai
382;Pepe Tovar Y Los Chacales
52;Percy Faith & His Orchestra
902;Petit Biscuit
634;Phil Chang
266;Phoebe Snow
928;Phoenix
975;Pink Sweat$
44;Pirgaki Filio
733;Pixies
982;Polo G
14;Pontsho Loco,Toy,Proditjie
28;Pran
103;Premlata Nayak
688;Prince
456;Priscilla Chan
431;Public Announcement
442;Pyotr Ilyich Tchaikovsky,André Previn,London Symphony Orchestra
518;Queen
346;Quincy Jones
318;R.E.M.
687;RJD2
753;Radiohead
657;Raheem DeVaughn
873;Rainbow Kitten Surprise
85;Rajkumari
38;Rajkumari,Tara
556;Rammstein
754;Randy Houser
706;Randy Travis
97;Red Camp
820;Red Hot Chili Peppers
758;Red Shahan
828;Rehab,Steaknife
817;Rene Liu
912;Rex Orange County
358;"Ricardo ""Richie"" Ray"
966;Rich Brian,Guapdad 4000
265;Richie Havens
689;Richie Jen
803;Rihanna
139;Rina Celi
50;Rina Celi y Orquesta
109;Rita Ampatzi
81;Rita Ampatzi,Dimitris Semsis,Violi
903;Rivermaya
197;Robert Mitchum
98;Robin Majumdar
561;Rodel Naval
433;Roger Miller
290;Roman Tam
313;Roman Tam,Jenny Tseng
878;Romeo Santos
262;Roy Brown
73;Roy Fox
491;Roy Orbison
232;Roy Rogers,Dale Evans
69;Roza Eskenazi
369;Rush
57;S. D. Batish
34;S. Mkrtchian with folk instrumental ensemble
151;S. Rajeswara Rao
783;S3RL
829;SHINee
642;SKY WU
889;SURAN
710;Sabaton
505;Sad Lovers & Giants
116;Sakis Pippidis
387;Sally Yeh
522;Sally Yeh,Chen Xiu Nan and Ye Chui Qing,Zhang Yong Fu
515;Sally Yeh,David Ling Jr,Philip Kok,Tom Brown
622;Sally Yeh,George Lam,陳秀男,Eric Chen,Zhang Yong Fu
402;Sally Yeh,Sammi Cheng
586;Sally Yeh,陳秀男,Ye Chui Qing
453;Sam Cooke
629;Sam Hui,Leslie Cheung
953;Sam Hunt
711;Sammi Cheng
84;Sandhya Mukherjee
502;Sandy Cheeks with Junior Brown
613;Sandy Lam
633;Sandy Lam,Wong Kei Wah
419;Sandy Lam,藍戰士
570;Santana
527;Sarah Chen
229;Savoy Brown
678;Scatman John
590;Scripture Lullabies
703;Secos & Molhados
668;Serge Gainsbourg,Jane Birkin
726;Serj Tankian
134;Sexteto Habanero
460;Shabba Ranks
954;Shakira
838;Shallou,Riah
87;Shamim Akhtar
107;Shamshad Begum
141;Shamshad Begum,Lata Mangeshkar,Mohammed Rafi
15;Sheela
932;Sheila On 7
310;Sheldon Allman
936;Shinedown
583;Shirley Kwan
29;Shobhana Samarth,Kantilal
94;Sholom Secunda,Richard Tucker
77;Shorty Bralik,ParkPlace Swagg
86;Shyamal Mitra,Tarun Banerjee
555;Sid Phillips
887;Silence Wang,By2
667;Simon & Garfunkel
343;Sinn Sisamouth,Ros Serey Sothea,Pan Ron,Dara Jamchan
372;Siouxsie and the Banshees
569;Slightly Stoopid
465;Slipknot
675;Snoop Dogg,Wiz Khalifa
845;Sodagreen
136;Sofia Iatridou
400;Sonic Youth
336;Sonora Ponceña
215;Sons of the Pioneers
12;Sotiris Stasinopoulos
425;Soundgarden
819;Speaker Knockerz
801;Spice Girls
200;Stan Getz,Eddie Sauter
155;Stan Kenton
479;Stanton Moore,Charlie Hunter,Skerik
632;Steel Pulse
747;Stefanie Sun
767;Stefanie Sun,Jerry,Lin Zheng-Zhong
33;Stellakis Perpiniadis
744;Stephane Wrembel
308;Steppenwolf
886;Steps
761;Steve Chou
459;Steve Miller Band
763;Stone Sour
11;Stratos Pagioumtzis
20;Sujan Majhi,Girin Chakraborty
686;Sum 41
848;Sunset Rollercoaster
41;Suraiya
844;Surfaces
682;Switchfoot
90;Sylvia de Grasse,Avelino Muñoz
666;System Of A Down
163;TIN TAN Y MARCELO
630;TOOL
540;TOTO
74;Tabet,Pills,Mireille
88;Takis Nikolaou
812;Tally Hall
892;Tanya Chua
89;Tarun Banerjee
43;Tasia Verra
492;Tat Ming Pair
836;Taylor Swift
567;Tech N9ne
259;Teena Marie
881;Ten Sharp
547;Tennessee Ernie Ford
328;Teresa Teng
174;Tex Williams
701;The 1975
317;The Adicts
333;The Aquatones
363;The Archies
943;The Band CAMINO
728;The Band Perry
274;The Beach Boys
579;The Beatles
64;The Carver Boys
241;The Chantays
187;The Clovers
905;The Connells
729;The Cranberries
359;The Damned
193;The Dave Brubeck Quartet
424;The Five Keys
671;The Gaslight Anthem
926;The Goo Goo Dolls
730;The Haunted
345;The Jackson 5
537;The Kinks
397;The Lettermen
724;The Lumineers
190;The McGuire Sisters
534;The Monkees
766;The Neighbourhood
157;The Norman Luboff Choir
416;The Pogues
691;The Pretty Reckless
482;The Radio Dept.
269;The Residents
421;The Righteous Brothers
194;The Rip Chords
307;The Rippingtons,Russ Freeman,David Benoit,Gregg Karukas,Bill Lanphier,Tony Morales,Steve Reid
374;The Shadows
189;The Silhouettes
727;The Smashing Pumpkins
154;The Song Swappers
377;The Southern Death Cult
468;The Stooges
861;The Strokes
240;The Temptations
588;The Time
298;The Tubes
320;The Turtles
185;The Ventures
327;The West Coast Pop Art Experimental Band
585;The Whitest Boy Alive
329;The Who
856;Them Crooked Vultures
392;They Might Be Giants
219;Tito Puente
172;Tito Rodriguez
293;Tito Rodriguez & His Orchestra
986;Tiësto,Dzeko,Preme,Post Malone
429;Toad The Wet Sprocket
394;Tom Waits
571;Toubab Krewe
565;Trevor Rabin
755;Trick Daddy
125;Trilok Kapoor
159;Trio Maravilla
948;Trippie Redd
443;Triste Janero
408;Tsai Chin
653;Tsai Chin,余天,Julie Sue,潘越雲,Jenny Tseng,李建復,林慧萍,Wang Zhi Lei,Tracy Huang,Hong Ronghong,Sarah Chen,金智娟,王夢麟,李佩菁,Fei Yu-ching,Chyi Yu,鄭怡,Jody Chiang,Diana Yang
708;Turnpike Troubadours
854;Two Door Cinema Club
830;Tyler, The Creator
257;U2
104;Umeno Tajima accompanied by Eikichi Kazari
45;Umm Kulthum
364;Uncle Tupelo
40;Unspecified
473;Unwritten Law
702;Valentín Elizalde
409;Van Halen
815;Vanessa Paradis
325;Vanilla Fudge
969;Vantage
857;Vengaboys
108;Veronica Gonzalez Day
919;Victor Internet
825;Victor Wong
239;Vince Guaraldi
871;Vince Staples
448;Vivian Chow
487;Vivian Chow,林隆璇
834;Vulfpeck
879;WILLOW,SZA
616;Wakin Chau
626;Wale
231;Waylon Jennings
709;Wayne Smith
940;Westside Gunn,Joey Bada$$,Tyler, The Creator,Billie Essco
422;Wet Willie
542;Willie K
599;Wilson Pickett
414;Wink
679;Wisin & Yandel
655;Wu Bai
659;Wu Bai,China Blue
645;Wu-Tang Clan
512;Wu-Tang Clan,Poppa Wu,Uncle Pete
846;Xzibit,Erick Sermon,J. Ro,Tash
993;Y2K,bbno$
962;YBN Cordae
847;YFN Lucci
917;YNW Melly
614;Yeasayer
258;Yellowman
792;Ying Yang Twins
129;Ying Yin Wu
791;Yoga Lin
818;Youth Lagoon
884;Yue Yan Jen
316;Yusuf / Cat Stevens
738;Z-Ro
390;ZZ Top
970;Zedd,Katy Perry
669;Zhang Yu Sheng
785;Zhang Zhen Yue
504;Zhao Chuan
925;Zion
806;Zion.T
760;blackbear
462;blink-182
525;deadmau5
946;dodie
923;dvsn,Ty Dolla $ign,Buju Banton
931;iann dior
795;will.i.am
601;Ángeles Del Infierno
864;Ólafur Arnalds,Nils Frahm
395;セキトオ・シゲオ
280;于璇
693;優客李林
205;冉肖玲
315;包娜娜,包妮妮
7;周璇
430;姚莉
475;小虎隊
384;尤雅
4;崔萍
332;左艷蓉
600;巫啟賢
237;席蓉蓉
227;幸福合唱團
246;康丁
576;張洪量
261;張淑美
17;張琍敏
250;張琪
249;張琪,謝雷
498;張艾嘉
204;張露
628;彭家麗,William So
251;徐珮
282;敏華
243;施京子
289;明星合唱團
337;服部爵士大樂隊
488;李壽全
253;李安和
226;李清風
524;李麗芬
287;楊燕
279;水柳仙
545;湯寶如,Jacky Cheung
288;湯蘭花
495;潘安邦
454;潘越雲
294;王秀如
236;王秋玉
255;環球管弦樂隊
277;環球群星
230;甜心女聲合唱團
135;白光
501;童安格
2;紫薇
366;羅大佑
270;舒芳
5;葛蘭
434;蔡楓華
552;蔣志光,韋綺珊,王利名
244;謝雷
286;賴佩霞
610;辛曉琪
625;那英
234;鄒森
438;陳蘭麗
268;霜華雪華
455;鳳飛飛
643;黃品源
238;黃國隆
247;黃國隆,王秋玉
278;黃蜀娟
